Id,SalePrice
1461,119972.72772419268
1462,158247.8540379626
1463,182233.03219420926
1464,195909.6676288518
1465,193716.94008632106
1466,172081.97307809407
1467,177526.91131303913
1468,164832.55986180357
1469,187335.61896555874
1470,126318.25898978545
1471,183304.90542738867
1472,96711.05547197854
1473,96064.36173294295
1474,144632.11647514574
1475,110502.0910733832
1476,367492.58710746875
1477,253517.00470355817
1478,283915.14618128916
1479,283062.94212856045
1480,494920.01488826546
1481,337153.94226129167
1482,213297.4745320194
1483,179887.24645498616
1484,162280.77117185315
1485,184041.79393156554
1486,195266.85471604823
1487,341081.0252663258
1488,234033.8669080777
1489,194716.57811559364
1490,239417.91909828605
1491,190268.92833433978
1492,90999.01738018035
1493,176835.81887201843
1494,289647.54184271686
1495,288922.01392866444
1496,230972.95393100946
1497,181453.34177022305
1498,166221.43301095214
1499,160366.9486155651
1500,158321.54374286963
1501,178888.42925407612
1502,143328.95165821988
1503,282930.5246571541
1504,243204.07934253154
1505,227562.08586163464
1506,192714.31181641016
1507,251551.9411428998
1508,198903.22867428148
1509,162983.20242038433
1510,144847.83183151693
1511,151881.62071541848
1512,174823.3088705273
1513,145078.49239609024
1514,152976.77716650296
1515,191753.84492170496
1516,150637.63304201272
1517,168827.24788684116
1518,129671.66911818602
1519,214376.72671739364
1520,132446.58219234535
1521,133453.34898920893
1522,174244.7028007469
1523,113501.3731838921
1524,128749.34943286022
1525,121754.6517751382
1526,110330.11187891748
1527,107118.77607451381
1528,140137.29554155032
1529,153071.77212238248
1530,183393.56425647973
1531,106888.24067021316
1532,93381.65593715597
1533,147509.92382916211
1534,122430.24011413906
1535,153566.722576877
1536,105290.76394519523
1537,60766.81968628376
1538,151510.63660412678
1539,200548.07596392176
1540,91696.67231217341
1541,141835.44451902638
1542,140290.61593188957
1543,197803.16016398824
1544,84088.0537929448
1545,111490.3400518115
1546,130441.00699640482
1547,131024.22454071502
1548,135900.1247139465
1549,118427.49113119252
1550,129983.77705069039
1551,107218.78513770731
1552,137514.4605714627
1553,149986.19415661236
1554,118789.25314926587
1555,166203.85703279637
1556,84854.28288995496
1557,103555.70793414985
1558,98203.41391293303
1559,72038.78717871587
1560,126931.00064238976
1561,127038.17598376896
1562,126610.50450318684
1563,119723.47416962274
1564,158117.57627810413
1565,140749.6130045664
1566,240941.99292269116
1567,76532.0410932603
1568,236015.50409282642
1569,132739.18742842882
1570,140018.50149554433
1571,120806.99125132184
1572,144287.86982279638
1573,245413.77441804114
1574,121995.66929555789
1575,226983.04351577998
1576,239029.95753921787
1577,178049.48658928915
1578,140363.67646213312
1579,149428.95861506741
1580,193026.3911787757
1581,153816.7584599324
1582,125104.1264033095
1583,295292.74687897303
1584,218432.4798941529
1585,139726.73702420027
1586,69259.10222193235
1587,102568.46206767709
1588,157935.10835371455
1589,93888.81998437353
1590,135357.94447094874
1591,96273.8048483461
1592,116259.65479708626
1593,121702.04701331156
1594,127395.78675235312
1595,108153.00710326574
1596,229433.69023146952
1597,193177.3044406057
1598,222616.5890557527
1599,165266.57912021
1600,155910.4626849329
1601,64312.13426189354
1602,112878.2413389023
1603,78242.08219524662
1604,268888.3396247718
1605,237843.00078240884
1606,169210.58741165113
1607,170809.61686389722
1608,214382.04923710885
1609,180829.5588596351
1610,156103.60829856782
1611,138639.2955204697
1612,168594.53745924128
1613,164053.26441588457
1614,124491.85072682986
1615,93017.98223306912
1616,79816.19985453287
1617,91777.50637191953
1618,125397.241578117
1619,140420.79647409765
1620,157694.53789127214
1621,137546.48660524326
1622,139697.54961572634
1623,263213.4196327366
1624,211180.09889756667
1625,116212.59977222478
1626,164473.56214761853
1627,192392.40067731324
1628,277320.8112058994
1629,179423.446104118
1630,359415.6036070019
1631,229124.75088954353
1632,242433.40857873912
1633,168014.84524744423
1634,187314.32400984952
1635,173344.7029191931
1636,151597.5285387631
1637,200768.7527407099
1638,183926.58556581545
1639,180480.86828781007
1640,257505.74777959578
1641,179808.82533597658
1642,239583.21003065916
1643,220829.42061189795
1644,236226.19903423075
1645,200789.57453068814
1646,159048.52959409912
1647,156531.94133192644
1648,130538.21957542904
1649,141961.83406455698
1650,113889.24052576949
1651,121210.27602899328
1652,97999.64079699959
1653,101342.85284238591
1654,141015.20031250024
1655,133212.6268646047
1656,138631.38111472366
1657,144791.27993807913
1658,140383.89986761197
1659,116187.02527185774
1660,150717.1743136254
1661,450802.6856967764
1662,419202.27581058844
1663,382073.72946690803
1664,516808.37218880886
1665,301731.77884197806
1666,333379.80984168
1667,400263.3157002395
1668,338836.43487664475
1669,302003.50326982734
1670,342019.63940177346
1671,270945.3179143234
1672,434378.25328743324
1673,299497.8691819198
1674,246671.06261648066
1675,199603.23924781912
1676,198835.9722115239
1677,225532.419706469
1678,474543.70623589266
1679,397845.5806944554
1680,337846.4361704923
1681,243690.594544828
1682,313844.209161909
